name
Q96I99	SUCB2 sp|Q96I99|SUCB2_HUMAN
Q15181	IPYR sp|Q15181|IPYR_HUMAN
P17844	DDX5 sp|P17844|DDX5_HUMAN
Q9NYG5	APC11 sp|Q9NYG5|APC11_HUMAN
P41214	EIF2D sp|P41214|EIF2D_HUMAN
O94906	PRP6 sp|O94906|PRP6_HUMAN
Q8N999	CL029 sp|Q8N999|CL029_HUMAN
Q7L8L6	FAKD5 sp|Q7L8L6|FAKD5_HUMAN
Q9UPN7	PP6R1 sp|Q9UPN7|PP6R1_HUMAN
Q9UPN9	TRI33 sp|Q9UPN9|TRI33_HUMAN
P53634	CATC sp|P53634|CATC_HUMAN
Q562R1	ACTBL sp|Q562R1|ACTBL_HUMAN/sp|P60709|ACTB_HUMAN/sp|P63261|ACTG_HUMAN
Q8WV07	ORAV1 sp|Q8WV07|ORAV1_HUMAN
Q02878	RL6 sp|Q02878|RL6_HUMAN
Q8N511	TM199 sp|Q8N511|TM199_HUMAN
P16152	CBR1 sp|P16152|CBR1_HUMAN
Q16851	UGPA sp|Q16851|UGPA_HUMAN
Q16850	CP51A sp|Q16850|CP51A_HUMAN
Q16854	DGUOK sp|Q16854|DGUOK_HUMAN
Q7L3V2	BOP sp|Q7L3V2|BOP_HUMAN
A5YKK6	CNOT1 sp|A5YKK6|CNOT1_HUMAN
P26640	SYVC sp|P26640|SYVC_HUMAN
P26641	EF1G sp|P26641|EF1G_HUMAN
Q13232	NDK3 sp|Q13232|NDK3_HUMAN
O75369	FLNB sp|O75369|FLNB_HUMAN
P60709	ACTB sp|P60709|ACTB_HUMAN/sp|P63261|ACTG_HUMAN/sp|Q6S8J3|POTEE_HUMAN
Q69YN2	C19L1 sp|Q69YN2|C19L1_HUMAN
Q6P2I3	FAH2B sp|Q6P2I3|FAH2B_HUMAN/sp|Q96GK7|FAH2A_HUMAN
O14787	TNPO2 sp|O14787|TNPO2_HUMAN
P40763	STAT3 sp|P40763|STAT3_HUMAN
Q9NUU7	DD19A sp|Q9NUU7|DD19A_HUMAN/sp|Q9UMR2|DD19B_HUMAN
Q13347	EIF3I sp|Q13347|EIF3I_HUMAN
O00244	ATOX1 sp|O00244|ATOX1_HUMAN
Q9NWA0	MED9 sp|Q9NWA0|MED9_HUMAN
Q9BQG2	NUD12 sp|Q9BQG2|NUD12_HUMAN
Q9BQG0	MBB1A sp|Q9BQG0|MBB1A_HUMAN
P21980	TGM2 sp|P21980|TGM2_HUMAN
Q9UK41	VPS28 sp|Q9UK41|VPS28_HUMAN
P61619	S61A1 sp|P61619|S61A1_HUMAN
Q9BY32	ITPA sp|Q9BY32|ITPA_HUMAN
Q13643	FHL3 sp|Q13643|FHL3_HUMAN
Q9BQ52	RNZ2 sp|Q9BQ52|RNZ2_HUMAN
P49770	EI2BB sp|P49770|EI2BB_HUMAN
Q9Y5A9	YTHD2 sp|Q9Y5A9|YTHD2_HUMAN
Q9NTI5	PDS5B sp|Q9NTI5|PDS5B_HUMAN
P25205	MCM3 sp|P25205|MCM3_HUMAN
Q16186	ADRM1 sp|Q16186|ADRM1_HUMAN
O95639	CPSF4 sp|O95639|CPSF4_HUMAN
P17987	TCPA sp|P17987|TCPA_HUMAN
Q9BXJ9	NAA15 sp|Q9BXJ9|NAA15_HUMAN
Q9BX40	LS14B sp|Q9BX40|LS14B_HUMAN
Q6YN16	HSDL2 sp|Q6YN16|HSDL2_HUMAN
P10644	KAP0 sp|P10644|KAP0_HUMAN
P48556	PSMD8 sp|P48556|PSMD8_HUMAN
O15067	PUR4 sp|O15067|PUR4_HUMAN
O95747	OXSR1 sp|O95747|OXSR1_HUMAN/sp|Q9UEW8|STK39_HUMAN
A6NNZ2	TBB8L sp|A6NNZ2|TBB8L_HUMAN
Q12789	TF3C1 sp|Q12789|TF3C1_HUMAN
Q8NHW5	RLA0L sp|Q8NHW5|RLA0L_HUMAN/sp|P05388|RLA0_HUMAN
P30519	HMOX2 sp|P30519|HMOX2_HUMAN
P05062	ALDOB sp|P05062|ALDOB_HUMAN/sp|P04075|ALDOA_HUMAN/sp|P09972|ALDOC_HUMAN
Q96NH3	BROMI sp|Q96NH3|BROMI_HUMAN/REV_sp|Q5T2E6|CJ076_HUMAN/sp|Q5VTL7|FNDC7_HUMAN/REV_sp|P29459|IL12A_HUMAN/REV_sp|Q9HCI6|K1586_HUMAN/REV_sp|P48048|KCNJ1_HUMAN/sp|Q7L0Y3|MRRP1_HUMAN/REV_sp|P34982|OR1D2_HUMAN/REV_sp|O75818|RPP40_HUMAN/REV_sp|Q6UW10|SFTA2_HUMAN/sp|A6NCK2|TR43B_HUMAN/sp|Q9C0B7|TNG6_HUMAN/sp|Q96BQ3|TRI43_HUMAN/sp|I1YAP6|TRI77_HUMAN/REV_sp|O94967|WDR47_HUMAN
Q96GX9	MTNB sp|Q96GX9|MTNB_HUMAN
Q9Y296	TPPC4 sp|Q9Y296|TPPC4_HUMAN
Q9Y295	DRG1 sp|Q9Y295|DRG1_HUMAN
Q9UBL3	ASH2L sp|Q9UBL3|ASH2L_HUMAN
Q96GX2	A7L3B sp|Q96GX2|A7L3B_HUMAN
Q6ICB0	DESI1 sp|Q6ICB0|DESI1_HUMAN
Q9UBB6	NCDN sp|Q9UBB6|NCDN_HUMAN
P30281	CCND3 sp|P30281|CCND3_HUMAN
Q01813	PFKAP sp|Q01813|PFKAP_HUMAN/sp|P17858|PFKAL_HUMAN
P49792	RBP2 sp|P49792|RBP2_HUMAN
Q9Y2Z0	SGT1 sp|Q9Y2Z0|SGT1_HUMAN
Q93008	USP9X sp|Q93008|USP9X_HUMAN/sp|O00507|USP9Y_HUMAN
P51114	FXR1 sp|P51114|FXR1_HUMAN
Q00610	CLH1 sp|Q00610|CLH1_HUMAN/sp|P53675|CLH2_HUMAN
O76031	CLPX sp|O76031|CLPX_HUMAN
Q5SRE5	NU188 sp|Q5SRE5|NU188_HUMAN
O60547	GMDS sp|O60547|GMDS_HUMAN
Q15173	2A5B sp|Q15173|2A5B_HUMAN/sp|Q14738|2A5D_HUMAN/sp|Q16537|2A5E_HUMAN/sp|Q13362|2A5G_HUMAN
Q15172	2A5A sp|Q15172|2A5A_HUMAN
O15243	OBRG sp|O15243|OBRG_HUMAN
Q5T2R2	DPS1 sp|Q5T2R2|DPS1_HUMAN
Q9NVC6	MED17 sp|Q9NVC6|MED17_HUMAN
Q9H0P0	5NT3A sp|Q9H0P0|5NT3A_HUMAN
Q96T76	MMS19 sp|Q96T76|MMS19_HUMAN
Q15370	ELOB sp|Q15370|ELOB_HUMAN
Q9P0L0	VAPA sp|Q9P0L0|VAPA_HUMAN
Q9Y619	ORNT1 sp|Q9Y619|ORNT1_HUMAN
Q9Y613	FHOD1 sp|Q9Y613|FHOD1_HUMAN
P09543	CN37 sp|P09543|CN37_HUMAN
P35250	RFC2 sp|P35250|RFC2_HUMAN
Q96AB3	ISOC2 sp|Q96AB3|ISOC2_HUMAN
Q9UIA9	XPO7 sp|Q9UIA9|XPO7_HUMAN
Q00765	REEP5 sp|Q00765|REEP5_HUMAN
Q5U5X0	LYRM7 sp|Q5U5X0|LYRM7_HUMAN
P53618	COPB sp|P53618|COPB_HUMAN
Q9C0E2	XPO4 sp|Q9C0E2|XPO4_HUMAN
Q4G0N4	NAKD2 sp|Q4G0N4|NAKD2_HUMAN
Q9Y4P8	WIPI2 sp|Q9Y4P8|WIPI2_HUMAN
Q8IYB9	ZN595 sp|Q8IYB9|ZN595_HUMAN
Q9H3L0	MMAD sp|Q9H3L0|MMAD_HUMAN
Q5VVQ6	OTU1 sp|Q5VVQ6|OTU1_HUMAN
Q9Y4P1	ATG4B sp|Q9Y4P1|ATG4B_HUMAN
Q9BZD4	NUF2 sp|Q9BZD4|NUF2_HUMAN
P08708	RS17 sp|P08708|RS17_HUMAN
Q01581	HMCS1 sp|Q01581|HMCS1_HUMAN
O43929	ORC4 sp|O43929|ORC4_HUMAN
Q92600	RCD1 sp|Q92600|RCD1_HUMAN
O75390	CISY sp|O75390|CISY_HUMAN
Q8NFP7	NUD10 sp|Q8NFP7|NUD10_HUMAN/sp|Q96G61|NUD11_HUMAN/sp|Q9NZJ9|NUDT4_HUMAN
Q9BSJ8	ESYT1 sp|Q9BSJ8|ESYT1_HUMAN
P35658	NU214 sp|P35658|NU214_HUMAN
P62701	RS4X sp|P62701|RS4X_HUMAN
Q9BSJ2	GCP2 sp|Q9BSJ2|GCP2_HUMAN
Q9H993	ARMT1 sp|Q9H993|ARMT1_HUMAN
P68431	H31 sp|P68431|H31_HUMAN
O75955	FLOT1 sp|O75955|FLOT1_HUMAN
P17858	PFKAL sp|P17858|PFKAL_HUMAN
Q9BTC8	MTA3 sp|Q9BTC8|MTA3_HUMAN/sp|Q13330|MTA1_HUMAN
Q14353	GAMT sp|Q14353|GAMT_HUMAN
Q9BTC0	DIDO1 sp|Q9BTC0|DIDO1_HUMAN
Q9BSD7	NTPCR sp|Q9BSD7|NTPCR_HUMAN
O94979	SC31A sp|O94979|SC31A_HUMAN
O43252	PAPS1 sp|O43252|PAPS1_HUMAN
O75081	MTG16 sp|O75081|MTG16_HUMAN
Q9NYF8	BCLF1 sp|Q9NYF8|BCLF1_HUMAN
P14174	MIF sp|P14174|MIF_HUMAN
P53350	PLK1 sp|P53350|PLK1_HUMAN
P54886	P5CS sp|P54886|P5CS_HUMAN
Q9NRG9	AAAS sp|Q9NRG9|AAAS_HUMAN
Q8TC07	TBC15 sp|Q8TC07|TBC15_HUMAN
Q8WVV9	HNRLL sp|Q8WVV9|HNRLL_HUMAN
Q14137	BOP1 sp|Q14137|BOP1_HUMAN
P23368	MAOM sp|P23368|MAOM_HUMAN
P46782	RS5 sp|P46782|RS5_HUMAN
O95400	CD2B2 sp|O95400|CD2B2_HUMAN
O43707	ACTN4 sp|O43707|ACTN4_HUMAN
O95406	CNIH1 sp|O95406|CNIH1_HUMAN
Q9H223	EHD4 sp|Q9H223|EHD4_HUMAN
P19447	ERCC3 sp|P19447|ERCC3_HUMAN
Q5TBB1	RNH2B sp|Q5TBB1|RNH2B_HUMAN
Q2VIR3	IF2GL sp|Q2VIR3|IF2GL_HUMAN/sp|P41091|IF2G_HUMAN
Q9H3P7	GCP60 sp|Q9H3P7|GCP60_HUMAN
Q9H3P2	NELFA sp|Q9H3P2|NELFA_HUMAN
P40938	RFC3 sp|P40938|RFC3_HUMAN
P40939	ECHA sp|P40939|ECHA_HUMAN
P40937	RFC5 sp|P40937|RFC5_HUMAN
O43324	MCA3 sp|O43324|MCA3_HUMAN
Q8WUA4	TF3C2 sp|Q8WUA4|TF3C2_HUMAN
Q9Y5P6	GMPPB sp|Q9Y5P6|GMPPB_HUMAN
Q2VPK5	CTU2 sp|Q2VPK5|CTU2_HUMAN
Q13356	PPIL2 sp|Q13356|PPIL2_HUMAN
Q8N1F7	NUP93 sp|Q8N1F7|NUP93_HUMAN
P31949	S10AB sp|P31949|S10AB_HUMAN
P31948	STIP1 sp|P31948|STIP1_HUMAN
P60604	UB2G2 sp|P60604|UB2G2_HUMAN
P63151	2ABA sp|P63151|2ABA_HUMAN
P38646	GRP75 sp|P38646|GRP75_HUMAN
Q7L4I2	RSRC2 sp|Q7L4I2|RSRC2_HUMAN
Q9UJU6	DBNL sp|Q9UJU6|DBNL_HUMAN
P50416	CPT1A sp|P50416|CPT1A_HUMAN
O14681	EI24 sp|O14681|EI24_HUMAN
P48047	ATPO sp|P48047|ATPO_HUMAN
Q9UNE7	CHIP sp|Q9UNE7|CHIP_HUMAN
P38606	VATA sp|P38606|VATA_HUMAN
Q9HCG8	CWC22 sp|Q9HCG8|CWC22_HUMAN
Q16881	TRXR1 sp|Q16881|TRXR1_HUMAN
Q9H0C8	ILKAP sp|Q9H0C8|ILKAP_HUMAN
Q7L2H7	EIF3M sp|Q7L2H7|EIF3M_HUMAN
Q9BS26	ERP44 sp|Q9BS26|ERP44_HUMAN
Q9BPX3	CND3 sp|Q9BPX3|CND3_HUMAN
Q9HD26	GOPC sp|Q9HD26|GOPC_HUMAN
O75431	MTX2 sp|O75431|MTX2_HUMAN
Q9HD20	AT131 sp|Q9HD20|AT131_HUMAN
Q96EM0	T3HPD sp|Q96EM0|T3HPD_HUMAN
Q9NYL9	TMOD3 sp|Q9NYL9|TMOD3_HUMAN
O14757	CHK1 sp|O14757|CHK1_HUMAN
Q9NZJ9	NUDT4 sp|Q9NZJ9|NUDT4_HUMAN
P21333	FLNA sp|P21333|FLNA_HUMAN
O95758	PTBP3 sp|O95758|PTBP3_HUMAN
A0A0B4J2A2	PAL4C sp|A0A0B4J2A2|PAL4C_HUMAN/sp|A0A075B759|PAL4E_HUMAN/sp|P0DN26|PAL4F_HUMAN/sp|F5H284|PAL4D_HUMAN/sp|Q9Y536|PAL4A_HUMAN/sp|P62937|PPIA_HUMAN
Q9C0J8	WDR33 sp|Q9C0J8|WDR33_HUMAN
P51610	HCFC1 sp|P51610|HCFC1_HUMAN
P51617	IRAK1 sp|P51617|IRAK1_HUMAN
Q5T4S7	UBR4 sp|Q5T4S7|UBR4_HUMAN
Q9Y289	SC5A6 sp|Q9Y289|SC5A6_HUMAN
P08865	RSSA sp|P08865|RSSA_HUMAN
Q96IZ6	MET2A sp|Q96IZ6|MET2A_HUMAN/sp|Q6P1Q9|MET2B_HUMAN
Q15208	STK38 sp|Q15208|STK38_HUMAN
Q06124	PTN11 sp|Q06124|PTN11_HUMAN
Q9BWW4	SSBP3 sp|Q9BWW4|SSBP3_HUMAN
Q8TDH9	BL1S5 sp|Q8TDH9|BL1S5_HUMAN
P13010	XRCC5 sp|P13010|XRCC5_HUMAN
Q9NRX1	PNO1 sp|Q9NRX1|PNO1_HUMAN
Q86UA6	RIP sp|Q86UA6|RIP_HUMAN
P60174	TPIS sp|P60174|TPIS_HUMAN
Q12980	NPRL3 sp|Q12980|NPRL3_HUMAN
P45880	VDAC2 sp|P45880|VDAC2_HUMAN
Q9C0F1	CEP44 sp|Q9C0F1|CEP44_HUMAN
Q6NXR4	TTI2 sp|Q6NXR4|TTI2_HUMAN
P28482	MK01 sp|P28482|MK01_HUMAN
O75419	CDC45 sp|O75419|CDC45_HUMAN
P62829	RL23 sp|P62829|RL23_HUMAN
Q8IYU8	MICU2 sp|Q8IYU8|MICU2_HUMAN
P62826	RAN sp|P62826|RAN_HUMAN
P83369	LSM11 sp|P83369|LSM11_HUMAN
Q9Y4W2	LAS1L sp|Q9Y4W2|LAS1L_HUMAN
P18583	SON sp|P18583|SON_HUMAN
Q6DN90	IQEC1 sp|Q6DN90|IQEC1_HUMAN
Q9Y4W6	AFG32 sp|Q9Y4W6|AFG32_HUMAN
O43913	ORC5 sp|O43913|ORC5_HUMAN
O95295	SNAPN sp|O95295|SNAPN_HUMAN
O95299	NDUAA sp|O95299|NDUAA_HUMAN
Q9BZE1	RM37 sp|Q9BZE1|RM37_HUMAN
Q92616	GCN1 sp|Q92616|GCN1_HUMAN
Q8N9N8	EIF1A sp|Q8N9N8|EIF1A_HUMAN
Q99661	KIF2C sp|Q99661|KIF2C_HUMAN
P24468	COT2 sp|P24468|COT2_HUMAN
P43490	NAMPT sp|P43490|NAMPT_HUMAN
Q9Y6I4	UBP3 sp|Q9Y6I4|UBP3_HUMAN
Q96P70	IPO9 sp|Q96P70|IPO9_HUMAN
P46060	RAGP1 sp|P46060|RAGP1_HUMAN
Q9UHQ1	NARF sp|Q9UHQ1|NARF_HUMAN
P68402	PA1B2 sp|P68402|PA1B2_HUMAN
Q96RE7	NACC1 sp|Q96RE7|NACC1_HUMAN
O75746	CMC1 sp|O75746|CMC1_HUMAN/sp|Q9UJS0|CMC2_HUMAN
Q9UHD8	SEPT9 sp|Q9UHD8|SEPT9_HUMAN
P22087	FBRL sp|P22087|FBRL_HUMAN
Q5T3I0	GPTC4 sp|Q5T3I0|GPTC4_HUMAN
Q9UHD1	CHRD1 sp|Q9UHD1|CHRD1_HUMAN
Q9NPH2	INO1 sp|Q9NPH2|INO1_HUMAN
P53611	PGTB2 sp|P53611|PGTB2_HUMAN
Q9UET6	TRM7 sp|Q9UET6|TRM7_HUMAN
Q8TC12	RDH11 sp|Q8TC12|RDH11_HUMAN
P22061	PIMT sp|P22061|PIMT_HUMAN
P18124	RL7 sp|P18124|RL7_HUMAN
Q9UI10	EI2BD sp|Q9UI10|EI2BD_HUMAN
Q9UI12	VATH sp|Q9UI12|VATH_HUMAN
O14929	HAT1 sp|O14929|HAT1_HUMAN
Q8TEX9	IPO4 sp|Q8TEX9|IPO4_HUMAN
O95433	AHSA1 sp|O95433|AHSA1_HUMAN
P49327	FAS sp|P49327|FAS_HUMAN
O43684	BUB3 sp|O43684|BUB3_HUMAN
P49321	NASP sp|P49321|NASP_HUMAN
P48230	T4S4 sp|P48230|T4S4_HUMAN
A6NFQ2	TCAF2 sp|A6NFQ2|TCAF2_HUMAN
P14618	KPYM sp|P14618|KPYM_HUMAN
O75348	VATG1 sp|O75348|VATG1_HUMAN
P42167	LAP2B sp|P42167|LAP2B_HUMAN
P42166	LAP2A sp|P42166|LAP2A_HUMAN
Q9HA64	KT3K sp|Q9HA64|KT3K_HUMAN
Q86X76	NIT1 sp|Q86X76|NIT1_HUMAN
Q13363	CTBP1 sp|Q13363|CTBP1_HUMAN
Q9NY65	TBA8 sp|Q9NY65|TBA8_HUMAN
Q13362	2A5G sp|Q13362|2A5G_HUMAN
Q9NYK5	RM39 sp|Q9NYK5|RM39_HUMAN
Q96FJ2	DYL2 sp|Q96FJ2|DYL2_HUMAN/sp|P63167|DYL1_HUMAN
Q96PK6	RBM14 sp|Q96PK6|RBM14_HUMAN
Q9BQE3	TBA1C sp|Q9BQE3|TBA1C_HUMAN
Q7Z7E8	UB2Q1 sp|Q7Z7E8|UB2Q1_HUMAN
P41091	IF2G sp|P41091|IF2G_HUMAN
O60232	SSA27 sp|O60232|SSA27_HUMAN
Q99536	VAT1 sp|Q99536|VAT1_HUMAN
Q8N1G4	LRC47 sp|Q8N1G4|LRC47_HUMAN
Q96FX7	TRM61 sp|Q96FX7|TRM61_HUMAN
Q9NYY8	FAKD2 sp|Q9NYY8|FAKD2_HUMAN
Q12769	NU160 sp|Q12769|NU160_HUMAN
Q12768	STRUM sp|Q12768|STRUM_HUMAN
Q9NX14	NDUBB sp|Q9NX14|NDUBB_HUMAN
Q15691	MARE1 sp|Q15691|MARE1_HUMAN
Q16891	MIC60 sp|Q16891|MIC60_HUMAN
Q9NS86	LANC2 sp|Q9NS86|LANC2_HUMAN
P55769	NH2L1 sp|P55769|NH2L1_HUMAN
Q9BV86	NTM1A sp|Q9BV86|NTM1A_HUMAN
Q96RS6	NUDC1 sp|Q96RS6|NUDC1_HUMAN
Q8NA72	POC5 sp|Q8NA72|POC5_HUMAN
Q14839	CHD4 sp|Q14839|CHD4_HUMAN
P25325	THTM sp|P25325|THTM_HUMAN
O14744	ANM5 sp|O14744|ANM5_HUMAN
Q7L2J0	MEPCE sp|Q7L2J0|MEPCE_HUMAN
Q13596	SNX1 sp|Q13596|SNX1_HUMAN
P13804	ETFA sp|P13804|ETFA_HUMAN
Q96IK0	TM101 sp|Q96IK0|TM101_HUMAN
Q53GQ0	DHB12 sp|Q53GQ0|DHB12_HUMAN
P10599	THIO sp|P10599|THIO_HUMAN
P31153	METK2 sp|P31153|METK2_HUMAN
P48449	ERG7 sp|P48449|ERG7_HUMAN
Q8N5K1	CISD2 sp|Q8N5K1|CISD2_HUMAN
Q15233	NONO sp|Q15233|NONO_HUMAN
Q5JTH9	RRP12 sp|Q5JTH9|RRP12_HUMAN
P53384	NUBP1 sp|P53384|NUBP1_HUMAN
Q9BT67	NFIP1 sp|Q9BT67|NFIP1_HUMAN
Q9BVK8	TM147 sp|Q9BVK8|TM147_HUMAN
Q9UQ35	SRRM2 sp|Q9UQ35|SRRM2_HUMAN
Q92990	GLMN sp|Q92990|GLMN_HUMAN
O95197	RTN3 sp|O95197|RTN3_HUMAN
Q96CB9	NSUN4 sp|Q96CB9|NSUN4_HUMAN
Q9UL46	PSME2 sp|Q9UL46|PSME2_HUMAN
Q9NVA2	SEP11 sp|Q9NVA2|SEP11_HUMAN
Q9UL40	ZN346 sp|Q9UL40|ZN346_HUMAN
Q9BRS2	RIOK1 sp|Q9BRS2|RIOK1_HUMAN
P57723	PCBP4 sp|P57723|PCBP4_HUMAN
Q969Z0	TBRG4 sp|Q969Z0|TBRG4_HUMAN
P04350	TBB4A sp|P04350|TBB4A_HUMAN/sp|P68371|TBB4B_HUMAN/sp|P07437|TBB5_HUMAN/sp|A6NNZ2|TBB8L_HUMAN/sp|Q3ZCM7|TBB8_HUMAN
P00519	ABL1 sp|P00519|ABL1_HUMAN
Q8IVT5	KSR1 sp|Q8IVT5|KSR1_HUMAN
Q9Y2Y0	AR2BP sp|Q9Y2Y0|AR2BP_HUMAN
P51825	AFF1 sp|P51825|AFF1_HUMAN
Q9Y256	FACE2 sp|Q9Y256|FACE2_HUMAN
P78371	TCPB sp|P78371|TCPB_HUMAN
P02008	HBAZ sp|P02008|HBAZ_HUMAN
O15355	PPM1G sp|O15355|PPM1G_HUMAN
O15357	SHIP2 sp|O15357|SHIP2_HUMAN
Q9GZN1	ARP6 sp|Q9GZN1|ARP6_HUMAN
Q99832	TCPH sp|Q99832|TCPH_HUMAN
Q9BXL5	HEMGN sp|Q9BXL5|HEMGN_HUMAN
Q6IPU0	CENPP sp|Q6IPU0|CENPP_HUMAN
Q00013	EM55 sp|Q00013|EM55_HUMAN
P43487	RANG sp|P43487|RANG_HUMAN
Q9NRW3	ABC3C sp|Q9NRW3|ABC3C_HUMAN
P43003	EAA1 sp|P43003|EAA1_HUMAN/sp|P43007|SATT_HUMAN
Q92974	ARHG2 sp|Q92974|ARHG2_HUMAN
Q92973	TNPO1 sp|Q92973|TNPO1_HUMAN
P42575	CASP2 sp|P42575|CASP2_HUMAN
Q9BTE7	DCNL5 sp|Q9BTE7|DCNL5_HUMAN
Q9BTE6	AASD1 sp|Q9BTE6|AASD1_HUMAN
P54577	SYYC sp|P54577|SYYC_HUMAN
P68366	TBA4A sp|P68366|TBA4A_HUMAN
P68363	TBA1B sp|P68363|TBA1B_HUMAN/sp|P68366|TBA4A_HUMAN
Q9BSF4	CS052 sp|Q9BSF4|CS052_HUMAN
P54578	UBP14 sp|P54578|UBP14_HUMAN
P61970	NTF2 sp|P61970|NTF2_HUMAN
P35520	CBS sp|P35520|CBS_HUMAN/sp|P0DN79|CBSL_HUMAN
P61978	HNRPK sp|P61978|HNRPK_HUMAN
Q9UI26	IPO11 sp|Q9UI26|IPO11_HUMAN
Q96LJ7	DHRS1 sp|Q96LJ7|DHRS1_HUMAN
Q7Z6J9	SEN54 sp|Q7Z6J9|SEN54_HUMAN
Q8IWX8	CHERP sp|Q8IWX8|CHERP_HUMAN
O94822	LTN1 sp|O94822|LTN1_HUMAN
Q13200	PSMD2 sp|Q13200|PSMD2_HUMAN
P49336	CDK8 sp|P49336|CDK8_HUMAN
Q8N163	CCAR2 sp|Q8N163|CCAR2_HUMAN
Q14790	CASP8 sp|Q14790|CASP8_HUMAN
Q14061	COX17 sp|Q14061|COX17_HUMAN
Q15758	AAAT sp|Q15758|AAAT_HUMAN
P82932	RT06 sp|P82932|RT06_HUMAN
P82933	RT09 sp|P82933|RT09_HUMAN
Q9GZR7	DDX24 sp|Q9GZR7|DDX24_HUMAN
P13489	RINI sp|P13489|RINI_HUMAN
Q9GZR2	REXO4 sp|Q9GZR2|REXO4_HUMAN
P62280	RS11 sp|P62280|RS11_HUMAN
P25786	PSA1 sp|P25786|PSA1_HUMAN
